name,last_name,hotel_id,hotel_name,hotel_city,date,checkout_date
John,Doe,839,Tranquil Oasis Villa,Athens,2024-02-28T15:12:33.226202,2024-03-01T15:12:33.226205
John,Doe,812,Coastal Escape Haven,Los Angeles,2024-02-28T15:14:21.328113,2024-03-01T15:14:21.328116
John,Doe,812,Coastal Escape Haven,Los Angeles,2024-02-28T15:15:55.749152,2024-03-01T15:15:55.749156
John,Doe,812,Coastal Escape Haven,Los Angeles,2024-02-28T20:22:26.249802,2024-03-01T20:22:26.249809
John,Doe,601,Art Deco Urban Loft,Paris,2024-02-28T20:23:45.045739,2024-03-01T20:23:45.045746
John,Doe,601,Art Deco Urban Loft,Paris,2024-02-28T20:24:04.464130,2024-03-01T20:24:04.464136
John,Doe,711,Quaint Village Cottage,Amsterdam,2024-02-28T20:42:15.334896,2024-03-04T20:42:15.334903
John,Doe,711,Quaint Village Cottage,Amsterdam,2024-02-28T22:13:36.121252,2024-03-04T22:13:36.121259
John,Doe,711,Quaint Village Cottage,Amsterdam,2024-02-28T22:15:03.584147,2024-03-04T22:15:03.584154
John,Doe,711,Quaint Village Cottage,Amsterdam,2024-02-28T22:16:57.895139,2024-03-04T22:16:57.895145
